data,method1,method2,criteria,value,methods
TCGA,HC (complete),K-Means++,V Measure,0.37477514044823806,HC (complete):K-Means++
TCGA,Birch,HC (complete),ARI,0.2810680452381609,Birch:HC (complete)
TCGA,Birch,HC (complete),MI,0.3745416568651239,Birch:HC (complete)
TCGA,Birch,HC (complete),Fowlkes Mallows,0.5085385044550501,Birch:HC (complete)
TCGA,Birch,HC (complete),V Measure,0.3874398652154353,Birch:HC (complete)
TCGA,Gaussian MM,HC (single),ARI,0.002855313024783426,Gaussian MM:HC (single)
TCGA,Gaussian MM,HC (single),MI,0.0037863339903816185,Gaussian MM:HC (single)
TCGA,Gaussian MM,HC (single),Fowlkes Mallows,0.4717414326639189,Gaussian MM:HC (single)
TCGA,Gaussian MM,HC (single),V Measure,0.02833134172113917,Gaussian MM:HC (single)
TCGA,HC (single),HC (single),ARI,1.0,HC (single):HC (single)
TCGA,HC (single),HC (single),MI,1.0,HC (single):HC (single)
TCGA,HC (single),HC (single),Fowlkes Mallows,1.0,HC (single):HC (single)
TCGA,HC (single),HC (single),V Measure,1.0,HC (single):HC (single)
TCGA,HC (single),K-Means,ARI,0.0029793965893745193,HC (single):K-Means
TCGA,HC (single),K-Means,MI,0.0034986447866795145,HC (single):K-Means
TCGA,HC (single),K-Means,Fowlkes Mallows,0.4744829190687439,HC (single):K-Means
TCGA,HC (single),K-Means,V Measure,0.028049601964823995,HC (single):K-Means
TCGA,HC (single),K-Means (minibatch),ARI,0.0037830233695903426,HC (single):K-Means (minibatch)
TCGA,HC (single),K-Means (minibatch),MI,0.004912688959023806,HC (single):K-Means (minibatch)
TCGA,HC (single),K-Means (minibatch),Fowlkes Mallows,0.48745395604437447,HC (single):K-Means (minibatch)
TCGA,HC (single),K-Means (minibatch),V Measure,0.029385793277609464,HC (single):K-Means (minibatch)
TCGA,HC (single),K-Means++,ARI,0.0028264325911006756,HC (single):K-Means++
TCGA,HC (single),K-Means++,MI,0.0031630266865147133,HC (single):K-Means++
TCGA,HC (single),K-Means++,Fowlkes Mallows,0.47311987781900067,HC (single):K-Means++
TCGA,HC (single),K-Means++,V Measure,0.027726324690334696,HC (single):K-Means++
TCGA,Birch,HC (single),ARI,0.004072331494530843,Birch:HC (single)
TCGA,Birch,HC (single),MI,0.004651585521210571,Birch:HC (single)
TCGA,Birch,HC (single),Fowlkes Mallows,0.4981658104710305,Birch:HC (single)
TCGA,Birch,HC (single),V Measure,0.029120628354913212,Birch:HC (single)
TCGA,Gaussian MM,HC (ward),ARI,0.4373254734235343,Gaussian MM:HC (ward)
TCGA,Gaussian MM,HC (ward),MI,0.5102210667031981,Gaussian MM:HC (ward)
TCGA,Gaussian MM,HC (ward),Fowlkes Mallows,0.5729838646108234,Gaussian MM:HC (ward)
TCGA,Gaussian MM,HC (ward),V Measure,0.5189438931872914,Gaussian MM:HC (ward)
TCGA,HC (average),HC (ward),ARI,0.40518448289578546,HC (average):HC (ward)
TCGA,HC (average),HC (ward),MI,0.4792559607010082,HC (average):HC (ward)
TCGA,HC (average),HC (ward),Fowlkes Mallows,0.5908287980815424,HC (average):HC (ward)
TCGA,HC (average),HC (ward),V Measure,0.489621843947576,HC (average):HC (ward)
TCGA,HC (complete),HC (ward),ARI,0.2810680452381609,HC (complete):HC (ward)
TCGA,HC (complete),HC (ward),MI,0.374541656865124,HC (complete):HC (ward)
TCGA,HC (complete),HC (ward),Fowlkes Mallows,0.5085385044550501,HC (complete):HC (ward)
TCGA,HC (complete),HC (ward),V Measure,0.3874398652154353,HC (complete):HC (ward)
TCGA,HC (single),HC (ward),ARI,0.004072331494530843,HC (single):HC (ward)
TCGA,HC (single),HC (ward),MI,0.004651585521210526,HC (single):HC (ward)
TCGA,HC (single),HC (ward),Fowlkes Mallows,0.4981658104710305,HC (single):HC (ward)
TCGA,HC (single),HC (ward),V Measure,0.029120628354913212,HC (single):HC (ward)
TCGA,HC (ward),HC (ward),ARI,1.0,HC (ward):HC (ward)
TCGA,HC (ward),HC (ward),MI,1.0,HC (ward):HC (ward)
TCGA,HC (ward),HC (ward),Fowlkes Mallows,1.0,HC (ward):HC (ward)
TCGA,HC (ward),HC (ward),V Measure,1.0,HC (ward):HC (ward)
TCGA,HC (ward),K-Means,ARI,0.47973910997548913,HC (ward):K-Means
TCGA,HC (ward),K-Means,MI,0.5352218481091484,HC (ward):K-Means
TCGA,HC (ward),K-Means,Fowlkes Mallows,0.6059465498309524,HC (ward):K-Means
TCGA,HC (ward),K-Means,V Measure,0.5435229294133277,HC (ward):K-Means
TCGA,HC (ward),K-Means (minibatch),ARI,0.3926368069740161,HC (ward):K-Means (minibatch)
TCGA,HC (ward),K-Means (minibatch),MI,0.47975367337796676,HC (ward):K-Means (minibatch)
TCGA,HC (ward),K-Means (minibatch),Fowlkes Mallows,0.54337040207437,HC (ward):K-Means (minibatch)
TCGA,HC (ward),K-Means (minibatch),V Measure,0.4891538675913496,HC (ward):K-Means (minibatch)
TCGA,HC (ward),K-Means++,ARI,0.48094480123238936,HC (ward):K-Means++
TCGA,HC (ward),K-Means++,MI,0.5396789959007557,HC (ward):K-Means++
TCGA,HC (ward),K-Means++,Fowlkes Mallows,0.6065580338113851,HC (ward):K-Means++
TCGA,HC (ward),K-Means++,V Measure,0.5478843504418828,HC (ward):K-Means++
TCGA,Birch,HC (ward),ARI,1.0,Birch:HC (ward)
TCGA,Birch,HC (ward),MI,1.0,Birch:HC (ward)
