data,method1,method2,noise,sigma,criteria,value,methods
Ceramic,Gaussian MM,K-Means,Laplace,1.0,MI,0.3253169392527252,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,1.0,Fowlkes Mallows,0.6962029545160285,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,1.0,V Measure,0.33104533359606997,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,1.5,ARI,0.07740613955976322,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,1.5,MI,0.06360257776849626,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,1.5,Fowlkes Mallows,0.5601917011831172,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,1.5,V Measure,0.07202655381311726,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,2.0,ARI,0.015406529411457183,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,2.0,MI,0.012534402175313342,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,2.0,Fowlkes Mallows,0.5438982992118135,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Laplace,2.0,V Measure,0.021790925617222755,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.0,ARI,0.8844897256311147,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.0,MI,0.8801993429657897,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.0,Fowlkes Mallows,0.9430072116101021,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.0,V Measure,0.8812172153009605,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.5,ARI,0.8078133139778073,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.5,MI,0.7710965221355915,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.5,Fowlkes Mallows,0.9043831970097844,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,0.5,V Measure,0.7730269597169495,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.0,ARI,0.6103762093206104,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.0,MI,0.5432620893062918,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.0,Fowlkes Mallows,0.8061777334727828,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.0,V Measure,0.5471176600009428,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.5,ARI,0.3252919109915345,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.5,MI,0.27768580781115787,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.5,Fowlkes Mallows,0.6691860495527291,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,1.5,V Measure,0.28385915945516754,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,2.0,ARI,0.1244071437051416,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,2.0,MI,0.10158763193282119,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,2.0,Fowlkes Mallows,0.5717652634832352,Gaussian MM:K-Means
Ceramic,Gaussian MM,K-Means,Normal,2.0,V Measure,0.10932001957330861,Gaussian MM:K-Means
Ceramic,Gaussian MM,HC (average),Laplace,0.0,ARI,0.7272310095343565,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.0,MI,0.6977813926663792,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.0,Fowlkes Mallows,0.8646434290228194,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.0,V Measure,0.700336484058316,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.5,ARI,0.6590801117466022,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.5,MI,0.6148975820547097,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.5,Fowlkes Mallows,0.8365859590138024,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,0.5,V Measure,0.6184331155311069,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.0,ARI,0.2901086472174918,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.0,MI,0.2523160380730513,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.0,Fowlkes Mallows,0.6679986633476094,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.0,V Measure,0.2596525603665824,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.5,ARI,0.034402330031790246,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.5,MI,0.03058859854457669,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.5,Fowlkes Mallows,0.6187219022917617,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,1.5,V Measure,0.04303878612812999,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,2.0,ARI,0.015150350974281225,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,2.0,MI,0.012357215165328464,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Laplace,2.0,Fowlkes Mallows,0.6509329790674464,Gaussian MM:HC (average)
