data,method,sigma,noise,criteria,Consistency,Accuracy
PANCAN,K-Means++,0.0,normal,ARI,0.9974797155335062,0.7959042620217187
PANCAN,K-Means++,0.0,normal,MI,0.9968439323238288,0.8642328640659577
PANCAN,K-Means++,0.0,normal,fowlkes mallows,0.9980514464480413,0.8448225636384743
PANCAN,K-Means++,0.0,normal,v_measure,0.9968657674079233,0.8651827104914108
PANCAN,K-Means++,1.0,laplace,ARI,0.8747898403004861,0.7887769686025305
PANCAN,K-Means++,1.0,laplace,MI,0.889047851173769,0.8501436567921347
PANCAN,K-Means++,1.0,laplace,fowlkes mallows,0.9033287711309942,0.8392756915923172
PANCAN,K-Means++,1.0,laplace,v_measure,0.8898143048600259,0.8511906611739335
PANCAN,K-Means++,1.0,normal,ARI,0.9559119880555681,0.7896248659634252
PANCAN,K-Means++,1.0,normal,MI,0.9520949666860191,0.8599514712058393
PANCAN,K-Means++,1.0,normal,fowlkes mallows,0.9658928014242486,0.839995982108508
PANCAN,K-Means++,1.0,normal,v_measure,0.9524260114154205,0.860930674353855
PANCAN,K-Means++,2.0,laplace,ARI,0.3970844982602583,0.49532790502204266
PANCAN,K-Means++,2.0,laplace,MI,0.47258657547662747,0.5719139925992971
PANCAN,K-Means++,2.0,laplace,fowlkes mallows,0.5681728690295845,0.6307163475106023
PANCAN,K-Means++,2.0,laplace,v_measure,0.4766545382248179,0.5750908518886073
PANCAN,K-Means++,2.0,normal,ARI,0.7358286175396445,0.7652878790392533
PANCAN,K-Means++,2.0,normal,MI,0.783893387031644,0.8150039852055382
PANCAN,K-Means++,2.0,normal,fowlkes mallows,0.7975326333012516,0.8217991950733076
PANCAN,K-Means++,2.0,normal,v_measure,0.7853986439290229,0.816301807956294
PANCAN,K-Means++,3.0,laplace,ARI,0.011657602488318751,0.06468003792829906
PANCAN,K-Means++,3.0,laplace,MI,0.013756111713025954,0.08203465438577441
PANCAN,K-Means++,3.0,laplace,fowlkes mallows,0.3315875332996451,0.3297027724461863
PANCAN,K-Means++,3.0,laplace,v_measure,0.022055649276132943,0.0891755969585023
PANCAN,K-Means++,3.0,normal,ARI,0.2980594861027917,0.42747850026844253
PANCAN,K-Means++,3.0,normal,MI,0.36350608406329227,0.49280712502363044
PANCAN,K-Means++,3.0,normal,fowlkes mallows,0.48130820360094695,0.5732011395125091
PANCAN,K-Means++,3.0,normal,v_measure,0.3682215796663136,0.496483035571137
PANCAN,K-Means++,4.0,laplace,ARI,0.0009215027573108605,0.015993449876940964
PANCAN,K-Means++,4.0,laplace,MI,0.0011251620209973404,0.02435637671141327
PANCAN,K-Means++,4.0,laplace,fowlkes mallows,0.30918858394008375,0.2874937013704415
PANCAN,K-Means++,4.0,laplace,v_measure,0.009265847737971521,0.03180121259913238
PANCAN,K-Means++,4.0,normal,ARI,0.01964365517253022,0.0820743271756662
PANCAN,K-Means++,4.0,normal,MI,0.02468927039062583,0.10725371436233917
