data,method,criteria,Accuracy,Consistency
PANCAN,K-Means,MI,0.7744636637463355,0.8766738065513182
PANCAN,K-Means,V Measure,0.7767359887919466,0.8784542313114357
PANCAN,K-Means (minibatch),ARI,0.6209332236334346,0.6155530329543324
PANCAN,K-Means (minibatch),Fowlkes Mallows,0.7143431525135979,0.7101469627621685
PANCAN,K-Means (minibatch),MI,0.7135028443760113,0.7061686000399108
PANCAN,K-Means (minibatch),V Measure,0.7164264870879101,0.7105112239539275
PANCAN,K-Means++,ARI,0.6879905025902318,0.8877630969369492
PANCAN,K-Means++,Fowlkes Mallows,0.7622610793487832,0.9135335243332623
PANCAN,K-Means++,MI,0.7805192729895498,0.9050422700589942
PANCAN,K-Means++,V Measure,0.7827276922342246,0.9064098168043407
PANCAN,Spectral (NN),ARI,0.9167193013563972,0.9118915615746216
PANCAN,Spectral (NN),Fowlkes Mallows,0.9368205709717935,0.9330959324165764
PANCAN,Spectral (NN),MI,0.9253503087685928,0.9334214861531509
PANCAN,Spectral (NN),V Measure,0.9261047371308259,0.9343909441035891
PANCAN,Spectral (RBF),ARI,0.5352020477113393,0.9349016172402297
PANCAN,Spectral (RBF),Fowlkes Mallows,0.648249459262698,0.950640024546558
PANCAN,Spectral (RBF),MI,0.6418521474221046,0.9402672291470568
PANCAN,Spectral (RBF),V Measure,0.6454908866403953,0.9411440988753919
Psychiatrist,Birch,ARI,0.3030718972372635,0.36100895871226935
Psychiatrist,Birch,Fowlkes Mallows,0.7716364406267079,0.7908979715231627
Psychiatrist,Birch,MI,0.28676110890819667,0.3709269990830537
Psychiatrist,Birch,V Measure,0.3306527051745542,0.42131500781351383
Psychiatrist,Gaussian MM,ARI,0.1323817234583004,0.14354212544133627
Psychiatrist,Gaussian MM,Fowlkes Mallows,0.7070072053920573,0.7346510361044015
Psychiatrist,Gaussian MM,MI,0.14005252374250785,0.13121430787865973
Psychiatrist,Gaussian MM,V Measure,0.1921989776568462,0.1975722376334958
Psychiatrist,HC (average),ARI,0.16509172596508376,0.45329918573745936
Psychiatrist,HC (average),Fowlkes Mallows,0.6348716228478889,0.7427291617504115
Psychiatrist,HC (average),MI,0.16199799451316124,0.4607801859349807
Psychiatrist,HC (average),V Measure,0.2011067858278855,0.49755496282094136
Psychiatrist,HC (complete),ARI,0.10754284546557277,0.3561491092240799
Psychiatrist,HC (complete),Fowlkes Mallows,0.6082555466444445,0.6912305476147309
Psychiatrist,HC (complete),MI,0.10304085316703661,0.37245584963345707
Psychiatrist,HC (complete),V Measure,0.14476932965666708,0.4137701812370318
Psychiatrist,HC (single),ARI,0.0,0.24353980782826898
Psychiatrist,HC (single),Fowlkes Mallows,0.7245977091872685,0.8718316284925821
Psychiatrist,HC (single),MI,0.011285341989011812,0.24617525852711838
Psychiatrist,HC (single),V Measure,0.08126924809603109,0.28635103146088464
Psychiatrist,HC (ward),ARI,0.02125749646148676,0.5079645563030154
Psychiatrist,HC (ward),Fowlkes Mallows,0.5704103591769072,0.7647053930571819
Psychiatrist,HC (ward),MI,0.05093797887275499,0.5087240580646155
Psychiatrist,HC (ward),V Measure,0.09505144985912903,0.5413175767680091
Psychiatrist,K-Means,ARI,0.22093466069426543,0.32068604382447086
Psychiatrist,K-Means,Fowlkes Mallows,0.729000382167119,0.7656466016239107
Psychiatrist,K-Means,MI,0.1945044957557011,0.3168299460613167
Psychiatrist,K-Means,V Measure,0.24187032939264164,0.3713654492434604
Psychiatrist,K-Means (minibatch),ARI,0.1331062724322732,0.17190488488775368
Psychiatrist,K-Means (minibatch),Fowlkes Mallows,0.7093378775524444,0.7436492768039623
Psychiatrist,K-Means (minibatch),MI,0.12455644116345872,0.16091635720424727
Psychiatrist,K-Means (minibatch),V Measure,0.17782114465640478,0.2255707801781039
Psychiatrist,K-Means++,ARI,0.26168712182802206,0.33375232925207476
Psychiatrist,K-Means++,Fowlkes Mallows,0.7483709783836541,0.7771665500103291
Psychiatrist,K-Means++,MI,0.23281562689979854,0.33084318442373223
Psychiatrist,K-Means++,V Measure,0.2786868772963471,0.38352556468253884
Psychiatrist,Spectral (NN),ARI,0.07365526801319272,0.7046980221686776
Psychiatrist,Spectral (NN),Fowlkes Mallows,0.5817329487943685,0.8494834833483113
Psychiatrist,Spectral (NN),MI,0.08457717915937683,0.6949534994097294
Psychiatrist,Spectral (NN),V Measure,0.1256447086196251,0.7132356548082025
Psychiatrist,Spectral (RBF),ARI,0.06033942695626781,0.6627830399197806
Psychiatrist,Spectral (RBF),Fowlkes Mallows,0.5849958052488288,0.8374432101868773
Psychiatrist,Spectral (RBF),MI,0.09953809252505988,0.6605228589707892
Psychiatrist,Spectral (RBF),V Measure,0.14106516131686334,0.68286955043248
Religion,Birch,ARI,0.1832643581393957,0.9465116816112585
Religion,Birch,Fowlkes Mallows,0.5360057250651542,0.9848048749619507
Religion,Birch,MI,0.33875794127126824,0.8945953587026503
Religion,Birch,V Measure,0.36015072491801464,0.8980460437305756
Religion,Gaussian MM,ARI,0.010290013292493398,0.05979314170720953
Religion,Gaussian MM,Fowlkes Mallows,0.46045588908599117,0.9621075467383937
Religion,Gaussian MM,MI,0.01766547887915405,0.05940473604524547
Religion,Gaussian MM,V Measure,0.049440656810726596,0.07797965826298713
Religion,HC (average),ARI,0.11214459412875023,0.5939274636524741
Religion,HC (average),Fowlkes Mallows,0.3257404288154526,0.707031285525139
Religion,HC (average),MI,0.22754713724863646,0.683248753558145
Religion,HC (average),V Measure,0.2539287809197552,0.6965732013219015
Religion,HC (complete),ARI,0.10474997948872002,0.5332219986696262
Religion,HC (complete),Fowlkes Mallows,0.3017772586667691,0.641013169869185
Religion,HC (complete),MI,0.2218824842406423,0.6632892921833495
Religion,HC (complete),V Measure,0.24897158669411332,0.678433052304187
Religion,HC (single),ARI,0.002275386823557291,0.3021728378851843
Religion,HC (single),Fowlkes Mallows,0.45505407239556417,0.9756999721038303
Religion,HC (single),MI,0.006837768746541526,0.30500337035947955
Religion,HC (single),V Measure,0.03895185317816849,0.3182134307909152
Religion,HC (ward),ARI,0.2844591623604267,0.5819173636015409
Religion,HC (ward),Fowlkes Mallows,0.4928417580081874,0.7325408189256802
Religion,HC (ward),MI,0.46512681159128055,0.612176491137049
Religion,HC (ward),V Measure,0.4856170745437708,0.6320348857746657
Religion,K-Means,ARI,0.01020641879217049,0.02396952076842224
Religion,K-Means,Fowlkes Mallows,0.4579790818496431,0.9509764514559924
Religion,K-Means,MI,0.017569217940712686,0.02116445738806646
Religion,K-Means,V Measure,0.04986060897716445,0.042170863733433143
Religion,K-Means (minibatch),ARI,0.0011599191875570972,6.337539989475523e-05
Religion,K-Means (minibatch),Fowlkes Mallows,0.4521810879083811,0.9566476195019997
Religion,K-Means (minibatch),MI,0.003812796616997012,0.00026627170244751357
Religion,K-Means (minibatch),V Measure,0.035896091136734254,0.02016087055323505
Religion,K-Means++,ARI,0.012134691397147011,0.19261238283890372
Religion,K-Means++,Fowlkes Mallows,0.4627202991698534,0.9695366685415009
Religion,K-Means++,MI,0.019802825233342237,0.19495794846918374
Religion,K-Means++,V Measure,0.05142067935238836,0.21057269024507586
Religion,Spectral (NN),ARI,0.4215267655421369,0.4902357832756617
Religion,Spectral (NN),Fowlkes Mallows,0.5526316535552399,0.6124107417335505
Religion,Spectral (NN),MI,0.5919559432055124,0.5942358733301057
Religion,Spectral (NN),V Measure,0.6072217650270626,0.6163735643867015
Religion,Spectral (RBF),ARI,0.29025326052281647,0.6305211617789966
Religion,Spectral (RBF),Fowlkes Mallows,0.5138577505999892,0.7806074643051973
Religion,Spectral (RBF),MI,0.48827311021218944,0.6628335779273548
Religion,Spectral (RBF),V Measure,0.507957179571941,0.6797450814930855
Spam base,Birch,ARI,0.26892872633260967,0.3149412877870335
Spam base,Birch,Fowlkes Mallows,0.6575863423976493,0.686214900763759
Spam base,Birch,MI,0.2415227137841075,0.2948366863447011
Spam base,Birch,V Measure,0.24170132245280002,0.2950782718669024
Spam base,Gaussian MM,ARI,0.2805101292410963,0.8915532780825369
Spam base,Gaussian MM,Fowlkes Mallows,0.6487544098557187,0.9459330609430789
Spam base,Gaussian MM,MI,0.24522709298821796,0.8258859647427118
Spam base,Gaussian MM,V Measure,0.24539925978335414,0.825941870164884
Spam base,HC (average),ARI,0.3628894523346083,0.5424564587584432
Spam base,HC (average),Fowlkes Mallows,0.6929412159969769,0.779311739354583
Spam base,HC (average),MI,0.2927982329024953,0.4752548184604346
Spam base,HC (average),V Measure,0.2929611916457495,0.47542727918150535
Spam base,HC (complete),ARI,0.0,0.5197952140393852
Spam base,HC (complete),Fowlkes Mallows,0.6558071260137072,0.897317235502746
Spam base,HC (complete),MI,0.008976450491087166,0.42789557340496776
Spam base,HC (complete),V Measure,0.00930078936458581,0.42834124210912383
Spam base,HC (single),ARI,0.0,0.1665698664048294
Spam base,HC (single),Fowlkes Mallows,0.7210974704353599,0.9969162286020913
Spam base,HC (single),MI,0.002414711506946253,0.1665849744139664
Spam base,HC (single),V Measure,0.002992616306515193,0.16694441210607774
Spam base,HC (ward),ARI,0.2751523257452357,0.4094993795757599
Spam base,HC (ward),Fowlkes Mallows,0.6565427931968664,0.7254002005823461
Spam base,HC (ward),MI,0.23741830699148378,0.37615298092112115
Spam base,HC (ward),V Measure,0.23759657387226454,0.37636444957864906
Spam base,K-Means,ARI,0.4919634307625937,0.9378946496158385
Spam base,K-Means,Fowlkes Mallows,0.7555909023678906,0.9699451506890957
Spam base,K-Means,MI,0.3819006426698925,0.8863650466780424
Spam base,K-Means,V Measure,0.3820431280525215,0.8864023229276041
Spam base,K-Means (minibatch),ARI,0.4844262658600806,0.8731176226716499
Spam base,K-Means (minibatch),Fowlkes Mallows,0.7516959448630939,0.9383664014285295
Spam base,K-Means (minibatch),MI,0.3766995730715417,0.8040978131769418
Spam base,K-Means (minibatch),V Measure,0.3768431562826641,0.8041619216454255
Spam base,K-Means++,ARI,0.49161243821931394,0.9367812070567734
Spam base,K-Means++,Fowlkes Mallows,0.7554093715555409,0.9694034967867553
Spam base,K-Means++,MI,0.3816227874510906,0.8848040538013039
Spam base,K-Means++,V Measure,0.38176533150566117,0.8848418398498914
Spam base,Spectral (NN),ARI,0.0,0.4939557346686363
Spam base,Spectral (NN),Fowlkes Mallows,0.7158148106099322,0.9910612349079692
Spam base,Spectral (NN),MI,0.009921065806241525,0.4744309989661028
Spam base,Spectral (NN),V Measure,0.010368350370725117,0.4756684465339223
Spam base,Spectral (RBF),ARI,0.3177324162843691,0.7300155015419503
Spam base,Spectral (RBF),Fowlkes Mallows,0.6702950145193621,0.8691112107872798
Spam base,Spectral (RBF),MI,0.2621389573441991,0.6989944952286203
Spam base,Spectral (RBF),V Measure,0.2623084317325777,0.6990928772104523
Statlog,Birch,ARI,0.40753710049154157,0.736940620021025
Statlog,Birch,Fowlkes Mallows,0.5479365509460774,0.8181277469736696
Statlog,Birch,MI,0.5870265483099367,0.8479055928816197
Statlog,Birch,V Measure,0.5898388588257405,0.8495101036456786
