data,method1,method2,criteria,value,methods
TCGA,Gaussian MM,Gaussian MM,ARI,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,MI,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,Fowlkes Mallows,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,V Measure,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,K-Means,ARI,0.5841120399732647,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,MI,0.637711434955584,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,Fowlkes Mallows,0.678909457515158,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,V Measure,0.6439967043306426,Gaussian MM:K-Means
TCGA,Gaussian MM,HC (average),ARI,0.4260882621439328,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),MI,0.4960059719007856,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),Fowlkes Mallows,0.5835066422128854,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),V Measure,0.5054882115354349,Gaussian MM:HC (average)
TCGA,HC (average),HC (average),ARI,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),MI,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),Fowlkes Mallows,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),V Measure,1.0,HC (average):HC (average)
TCGA,HC (average),HC (single),ARI,0.013254197573811738,HC (average):HC (single)
TCGA,HC (average),HC (single),MI,0.02303845836713733,HC (average):HC (single)
TCGA,HC (average),HC (single),Fowlkes Mallows,0.5530823604958905,HC (average):HC (single)
TCGA,HC (average),HC (single),V Measure,0.0469574021989276,HC (average):HC (single)
TCGA,HC (average),K-Means,ARI,0.4482794212566851,HC (average):K-Means
TCGA,HC (average),K-Means,MI,0.5023914306514995,HC (average):K-Means
TCGA,HC (average),K-Means,Fowlkes Mallows,0.6007132585182845,HC (average):K-Means
TCGA,HC (average),K-Means,V Measure,0.5117752083637952,HC (average):K-Means
TCGA,HC (average),K-Means (minibatch),ARI,0.3935764212218072,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),MI,0.4647429547883817,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),Fowlkes Mallows,0.5631316953766468,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),V Measure,0.4749068129806804,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means++,ARI,0.4417380565817068,HC (average):K-Means++
TCGA,HC (average),K-Means++,MI,0.49995205389392994,HC (average):K-Means++
TCGA,HC (average),K-Means++,Fowlkes Mallows,0.5953549864062435,HC (average):K-Means++
TCGA,HC (average),K-Means++,V Measure,0.5093797166614628,HC (average):K-Means++
TCGA,Birch,HC (average),ARI,0.41916726882022887,Birch:HC (average)
TCGA,Birch,HC (average),MI,0.4901367364511695,Birch:HC (average)
