data,method1,method2,criteria,value,methods
Amphibians,HC (complete),K-Means++,Fowlkes Mallows,0.910368154303571,HC (complete):K-Means++
Amphibians,HC (complete),K-Means++,V Measure,0.006215134060396001,HC (complete):K-Means++
Amphibians,Birch,HC (complete),ARI,-0.020032785975709615,Birch:HC (complete)
Amphibians,Birch,HC (complete),MI,-0.008261184260831689,Birch:HC (complete)
Amphibians,Birch,HC (complete),Fowlkes Mallows,0.9105429277418365,Birch:HC (complete)
Amphibians,Birch,HC (complete),V Measure,0.006114631111581618,Birch:HC (complete)
Amphibians,Gaussian MM,HC (single),ARI,-0.013576193508471635,Gaussian MM:HC (single)
Amphibians,Gaussian MM,HC (single),MI,-0.008854925819197067,Gaussian MM:HC (single)
Amphibians,Gaussian MM,HC (single),Fowlkes Mallows,0.9650974818873337,Gaussian MM:HC (single)
Amphibians,Gaussian MM,HC (single),V Measure,0.002885923490929704,Gaussian MM:HC (single)
Amphibians,HC (single),HC (single),ARI,1.0,HC (single):HC (single)
Amphibians,HC (single),HC (single),MI,1.0,HC (single):HC (single)
Amphibians,HC (single),HC (single),Fowlkes Mallows,1.0,HC (single):HC (single)
Amphibians,HC (single),HC (single),V Measure,1.0,HC (single):HC (single)
Amphibians,HC (single),K-Means,ARI,-0.013584980859729406,HC (single):K-Means
Amphibians,HC (single),K-Means,MI,-0.008865938295965404,HC (single):K-Means
Amphibians,HC (single),K-Means,Fowlkes Mallows,0.9653134519700791,HC (single):K-Means
Amphibians,HC (single),K-Means,V Measure,0.002878907414921272,HC (single):K-Means
Amphibians,HC (single),K-Means (minibatch),ARI,-0.01407981297464046,HC (single):K-Means (minibatch)
Amphibians,HC (single),K-Means (minibatch),MI,-0.008714049440581108,HC (single):K-Means (minibatch)
Amphibians,HC (single),K-Means (minibatch),Fowlkes Mallows,0.9570364595935295,HC (single):K-Means (minibatch)
Amphibians,HC (single),K-Means (minibatch),V Measure,0.003278848684770568,HC (single):K-Means (minibatch)
Amphibians,HC (single),K-Means++,ARI,-0.013584980859729406,HC (single):K-Means++
Amphibians,HC (single),K-Means++,MI,-0.008865938295965404,HC (single):K-Means++
Amphibians,HC (single),K-Means++,Fowlkes Mallows,0.9653134519700791,HC (single):K-Means++
Amphibians,HC (single),K-Means++,V Measure,0.002878907414921272,HC (single):K-Means++
Amphibians,Birch,HC (single),ARI,-0.013493783375347297,Birch:HC (single)
Amphibians,Birch,HC (single),MI,-0.008860962227245037,Birch:HC (single)
Amphibians,Birch,HC (single),Fowlkes Mallows,0.9654730609229251,Birch:HC (single)
Amphibians,Birch,HC (single),V Measure,0.0028536831501771082,Birch:HC (single)
Amphibians,Gaussian MM,HC (ward),ARI,0.9914108672909646,Gaussian MM:HC (ward)
Amphibians,Gaussian MM,HC (ward),MI,0.9874752989392046,Gaussian MM:HC (ward)
Amphibians,Gaussian MM,HC (ward),Fowlkes Mallows,0.9992723457224731,Gaussian MM:HC (ward)
