data,method1,method2,criteria,K,value
Bean,LogisticLASSO,permutation (MLP),Jaccard,24,1.0
Bean,LogisticLASSO,permutation (MLP),Jaccard,25,1.0
Bean,LogisticLASSO,permutation (MLP),Jaccard,26,1.0
Bean,LogisticLASSO,permutation (MLP),Jaccard,27,1.0
Bean,LogisticLASSO,permutation (MLP),Jaccard,28,1.0
Bean,LogisticLASSO,permutation (MLP),Jaccard,29,1.0
Bean,LogisticLASSO,permutation (MLP),Jaccard,30,1.0
Bean,LogisticLASSO,permutation (MLP),RBO,1,0.31
Bean,LogisticLASSO,permutation (MLP),RBO,2,0.2925
Bean,LogisticLASSO,permutation (MLP),RBO,3,0.2938888888888888
Bean,LogisticLASSO,permutation (MLP),RBO,4,0.31041666666666656
Bean,LogisticLASSO,permutation (MLP),RBO,5,0.32953333333333323
Bean,LogisticLASSO,permutation (MLP),RBO,6,0.34905555555555556
Bean,LogisticLASSO,permutation (MLP),RBO,7,0.3690867346938775
Bean,LogisticLASSO,permutation (MLP),RBO,8,0.38925744047619054
Bean,LogisticLASSO,permutation (MLP),RBO,9,0.4081163470017636
Bean,LogisticLASSO,permutation (MLP),RBO,10,0.42633702601410944
Bean,LogisticLASSO,permutation (MLP),RBO,11,0.44511115693369496
Bean,LogisticLASSO,permutation (MLP),RBO,12,0.4630731961570978
Bean,LogisticLASSO,permutation (MLP),RBO,13,0.4814134031367279
Bean,LogisticLASSO,permutation (MLP),RBO,14,0.49935013810505624
Bean,LogisticLASSO,permutation (MLP),RBO,15,0.5174173246222427
Bean,LogisticLASSO,permutation (MLP),RBO,16,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,17,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,18,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,19,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,20,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,21,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,22,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,23,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,24,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,25,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,26,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,27,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,28,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,29,0.5876102890165392
Bean,LogisticLASSO,permutation (MLP),RBO,30,0.5876102890165392
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,1,0.1919191919191919
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,2,0.1851851851851852
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,3,0.21919191919191894
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,4,0.23107263107263087
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,5,0.2515632515632514
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,6,0.3002754820936634
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,7,0.3579191291312505
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,8,0.41558553679765803
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,9,0.4783610329064877
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,10,0.539052698143608
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,11,0.6202991452991454
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,12,0.6901431901431905
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,13,0.7682299182299184
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,14,0.8510101010101001
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,15,0.9419191919191919
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,16,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,17,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,18,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,19,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,20,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,21,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,22,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,23,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,24,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,25,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,26,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,27,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,28,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,29,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),Jaccard,30,1.0
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,1,0.1919191919191919
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,2,0.22474747474747475
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,3,0.26094276094276087
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,4,0.28472222222222193
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,5,0.30575757575757556
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,6,0.32971380471380485
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,7,0.356204906204906
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,8,0.3838068181818182
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,9,0.4121180945255019
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,10,0.4403002244668912
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,11,0.46939389301648266
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,12,0.4980386780260516
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,13,0.5264305387265762
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,14,0.5544333872797073
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,15,0.582072732729298
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,16,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,17,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,18,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,19,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,20,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,21,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,22,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,23,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,24,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,25,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,26,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,27,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,28,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,29,0.6081931869337172
Bean,Occlusion (MLP),Guided Backpropagation (MLP),RBO,30,0.6081931869337172
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,1,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,2,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,3,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,4,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,5,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,6,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,7,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,8,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,9,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,10,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,11,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,12,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,13,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,14,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,15,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,16,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,17,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,18,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,19,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,20,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,21,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,22,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,23,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,24,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,25,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,26,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,27,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,28,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,29,1.0
Bean,Occlusion (MLP),Occlusion (MLP),Jaccard,30,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,1,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,2,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,3,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,4,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,5,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,6,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,7,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,8,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,9,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,10,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,11,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,12,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,13,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,14,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,15,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,16,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,17,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,18,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,19,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,20,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,21,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,22,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,23,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,24,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,25,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,26,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,27,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,28,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,29,1.0
Bean,Occlusion (MLP),Occlusion (MLP),RBO,30,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,1,0.4444444444444444
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,2,0.44107744107744135
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,3,0.42323232323232357
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,4,0.48802308802308914
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,5,0.5381994548661221
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,6,0.55840220385675
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,7,0.5930313233343536
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,8,0.6161396403820654
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,9,0.6680158225612768
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,10,0.7316656407565494
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,11,0.7850297850297852
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,12,0.8421578421578407
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,13,0.916305916305917
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,14,0.9717171717171712
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,15,0.9810606060606061
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,16,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,17,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,18,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,19,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,20,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,21,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,22,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,23,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,24,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,25,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,26,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,27,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,28,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,29,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),Jaccard,30,1.0
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,1,0.4444444444444444
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,2,0.4797979797979798
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,3,0.5028058361391696
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,4,0.5311447811447815
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,5,0.558653198653199
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,6,0.5808641975308643
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,7,0.600542843399986
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,8,0.6182780182780182
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,9,0.6371225482336594
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,10,0.6569456469456466
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,11,0.6766122460337339
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,12,0.6961257597621235
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,13,0.7160340824676492
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,14,0.7352351112091369
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,15,0.7522127031217943
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,16,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,17,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,18,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,19,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,20,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,21,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,22,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,23,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,24,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,25,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,26,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,27,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,28,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,29,0.7676994091766823
Bean,Occlusion (MLP),Shapley Value (MLP),RBO,30,0.7676994091766823
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,1,0.29292929292929293
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,2,0.22222222222222215
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,3,0.27676767676767655
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,4,0.32371332371332345
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,5,0.3780663780663781
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,6,0.43910533910533944
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,7,0.47824711764105715
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,8,0.5253796708342166
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,9,0.5759099486372209
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,10,0.6447592811229176
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,11,0.711632811632812
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,12,0.7852369852369845
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,13,0.8504088504088503
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,14,0.9232323232323222
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,15,0.9785353535353535
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,16,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,17,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,18,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,19,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,20,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,21,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,22,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,23,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,24,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,25,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,26,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,27,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,28,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,29,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),Jaccard,30,1.0
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,1,0.29292929292929293
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,2,0.3055555555555556
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,3,0.3350168350168348
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,4,0.3674242424242424
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,5,0.3997979797979797
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,6,0.4322109988776655
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,7,0.4609633752490897
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,8,0.4880967412217412
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,9,0.5140483316409242
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,10,0.5403202661535994
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,11,0.5663317220479757
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,12,0.5921592973991964
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,13,0.6171363450500982
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,14,0.6415462103232668
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,15,0.6646799422051949
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,16,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,17,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,18,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,19,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,20,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,21,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,22,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,23,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,24,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,25,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,26,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,27,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,28,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,29,0.6856374458173699
Bean,Occlusion (MLP),deepLIFT (MLP),RBO,30,0.6856374458173699
Bean,Occlusion (MLP),permutation (MLP),Jaccard,1,0.21212121212121213
Bean,Occlusion (MLP),permutation (MLP),Jaccard,2,0.16498316498316504
Bean,Occlusion (MLP),permutation (MLP),Jaccard,3,0.18585858585858564
Bean,Occlusion (MLP),permutation (MLP),Jaccard,4,0.24482924482924456
Bean,Occlusion (MLP),permutation (MLP),Jaccard,5,0.2806236972903638
Bean,Occlusion (MLP),permutation (MLP),Jaccard,6,0.3091258909440725
Bean,Occlusion (MLP),permutation (MLP),Jaccard,7,0.36289664319967346
Bean,Occlusion (MLP),permutation (MLP),Jaccard,8,0.42116110600959084
Bean,Occlusion (MLP),permutation (MLP),Jaccard,9,0.4934520025429115
Bean,Occlusion (MLP),permutation (MLP),Jaccard,10,0.562232380414199
Bean,Occlusion (MLP),permutation (MLP),Jaccard,11,0.6448921448921451
Bean,Occlusion (MLP),permutation (MLP),Jaccard,12,0.7226329226329226
Bean,Occlusion (MLP),permutation (MLP),Jaccard,13,0.8126984126984127
Bean,Occlusion (MLP),permutation (MLP),Jaccard,14,0.9006734006733998
Bean,Occlusion (MLP),permutation (MLP),Jaccard,15,0.9659090909090909
Bean,Occlusion (MLP),permutation (MLP),Jaccard,16,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,17,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,18,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,19,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,20,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,21,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,22,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,23,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,24,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,25,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,26,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,27,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,28,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,29,1.0
Bean,Occlusion (MLP),permutation (MLP),Jaccard,30,1.0
Bean,Occlusion (MLP),permutation (MLP),RBO,1,0.21212121212121213
Bean,Occlusion (MLP),permutation (MLP),RBO,2,0.2222222222222222
Bean,Occlusion (MLP),permutation (MLP),RBO,3,0.24354657687991013
Bean,Occlusion (MLP),permutation (MLP),RBO,4,0.27483164983164965
Bean,Occlusion (MLP),permutation (MLP),RBO,5,0.30390572390572373
Bean,Occlusion (MLP),permutation (MLP),RBO,6,0.32929292929292936
Bean,Occlusion (MLP),permutation (MLP),RBO,7,0.35625644197072753
Bean,Occlusion (MLP),permutation (MLP),RBO,8,0.38448322510822514
Bean,Occlusion (MLP),permutation (MLP),RBO,9,0.4143404948960506
Bean,Occlusion (MLP),permutation (MLP),RBO,10,0.4443205868205869
Bean,Occlusion (MLP),permutation (MLP),RBO,11,0.47488531517457144
Bean,Occlusion (MLP),permutation (MLP),RBO,12,0.5050365669683854
Bean,Occlusion (MLP),permutation (MLP),RBO,13,0.5350418229788859
Bean,Occlusion (MLP),permutation (MLP),RBO,14,0.5644394746667474
Bean,Occlusion (MLP),permutation (MLP),RBO,15,0.5922647218101763
Bean,Occlusion (MLP),permutation (MLP),RBO,16,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,17,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,18,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,19,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,20,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,21,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,22,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,23,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,24,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,25,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,26,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,27,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,28,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,29,0.6177481766970404
Bean,Occlusion (MLP),permutation (MLP),RBO,30,0.6177481766970404
Bean,RF,Epsilon-LRP (MLP),Jaccard,1,0.05
Bean,RF,Epsilon-LRP (MLP),Jaccard,2,0.0733333333333333
Bean,RF,Epsilon-LRP (MLP),Jaccard,3,0.11599999999999996
Bean,RF,Epsilon-LRP (MLP),Jaccard,4,0.2136190476190474
Bean,RF,Epsilon-LRP (MLP),Jaccard,5,0.26337301587301565
Bean,RF,Epsilon-LRP (MLP),Jaccard,6,0.3124978354978351
Bean,RF,Epsilon-LRP (MLP),Jaccard,7,0.37458080808080807
Bean,RF,Epsilon-LRP (MLP),Jaccard,8,0.4384211344211343
Bean,RF,Epsilon-LRP (MLP),Jaccard,9,0.5033716283716282
Bean,RF,Epsilon-LRP (MLP),Jaccard,10,0.587728937728938
Bean,RF,Epsilon-LRP (MLP),Jaccard,11,0.66496336996337
Bean,RF,Epsilon-LRP (MLP),Jaccard,12,0.759560439560439
Bean,RF,Epsilon-LRP (MLP),Jaccard,13,0.8525714285714285
Bean,RF,Epsilon-LRP (MLP),Jaccard,14,0.9573333333333328
Bean,RF,Epsilon-LRP (MLP),Jaccard,15,0.975
Bean,RF,Epsilon-LRP (MLP),Jaccard,16,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,17,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,18,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,19,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,20,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,21,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,22,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,23,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,24,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,25,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,26,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,27,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,28,1.0
Bean,RF,Epsilon-LRP (MLP),Jaccard,29,1.0
