data,method1,method2,criteria,K,value
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,7,0.16699791436633538
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,8,0.17637520374362461
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,9,0.1850637906984655
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,10,0.18808631485835317
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,11,0.20267204388680674
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,12,0.21019655809944218
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,13,0.21679560700516987
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,14,0.23018549028954907
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,15,0.23762678460618955
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,16,0.24545670827940222
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,17,0.2547719273651316
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,18,0.26340677075593055
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,19,0.27335285334647375
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,20,0.28395528524102726
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,21,0.2955343988786849
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,22,0.30429114761734605
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,23,0.3129774544127757
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,24,0.3205204591345723
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,25,0.3281471041943743
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,26,0.3360920835022786
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,27,0.3468979024038088
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,28,0.35721326110088797
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,29,0.36527657927827234
Author,Epsilon-LRP (MLP),permutation (MLP),Jaccard,30,0.37533113182783007
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,1,0.09473684210526316
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,2,0.09736842105263158
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,3,0.1140350877192982
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,4,0.1315789473684211
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,5,0.15157894736842095
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,6,0.16725146198830415
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,7,0.1826709631220909
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,8,0.19618577694235587
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,9,0.20830548593706474
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,10,0.2184223057644109
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,11,0.22849178731953856
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,12,0.23774027872712075
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,13,0.24629778453665094
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,14,0.25491346372925316
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,15,0.2630420398315134
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,16,0.27082066234204405
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,17,0.27838302367213325
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,18,0.28575680630763206
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,19,0.2930234330641482
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,20,0.3002143666740986
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,21,0.307376852376096
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,22,0.3143490659153293
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,23,0.3211572897930532
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,24,0.32776842611015544
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,25,0.3341945311710124
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,26,0.34049380722220507
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,27,0.3467840878441826
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,28,0.35304824367574106
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,29,0.3591731837680287
Author,Epsilon-LRP (MLP),permutation (MLP),RBO,30,0.3652592238412583
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,1,0.16842105263157894
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,2,0.27017543859649096
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,3,0.37894736842105264
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,4,0.37002506265664176
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,5,0.3583542188805344
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,6,0.3515835042150829
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,7,0.3328654970760235
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,8,0.3373265331160063
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,9,0.3401138335348859
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,10,0.35522856916045753
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,11,0.3742999656002751
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,12,0.39665417413502807
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,13,0.42322715974663205
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,14,0.4381165410006862
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,15,0.45823110407597967
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,16,0.47356343427739317
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,17,0.4888988448622319
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,18,0.5081698073093955
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,19,0.5204118579953818
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,20,0.5302360027492202
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,21,0.5423855128537525
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,22,0.5547280140493647
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,23,0.5634011695035637
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,24,0.5768053890307331
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,25,0.5814302430873298
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,26,0.5867671708634281
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,27,0.5913790534869335
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,28,0.5931969671684363
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,29,0.5948644011136985
Author,LogisticLASSO,Epsilon-LRP (MLP),Jaccard,30,0.5935852539093973
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,1,0.16842105263157894
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,2,0.2710526315789474
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,3,0.3514619883040935
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,4,0.3925438596491227
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,5,0.41635087719298247
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,6,0.43175438596491234
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,7,0.4401074113856071
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,8,0.44693609022556413
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,9,0.4527671029425414
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,10,0.4592798663324979
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,11,0.4665049676532929
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,12,0.47448627882838407
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,13,0.483393749750025
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,14,0.49209870747464735
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,15,0.5009295538769222
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,16,0.5095885620227727
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,17,0.5180392803740098
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,18,0.5264912891641479
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,19,0.5345155880166701
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,20,0.5421571245739676
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,21,0.5495757292572087
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,22,0.5568129370920315
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,23,0.563713873401416
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,24,0.5703765311551977
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,25,0.5766230518932497
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,26,0.582551637214827
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,27,0.5877906743590671
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,28,0.5920685262923951
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,29,0.5958524919907009
Author,LogisticLASSO,Epsilon-LRP (MLP),RBO,30,0.5983127637120695
Author,LogisticLASSO,LogisticLASSO,Jaccard,1,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,2,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,3,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,4,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,5,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,6,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,7,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,8,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,9,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,10,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,11,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,12,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,13,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,14,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,15,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,16,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,17,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,18,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,19,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,20,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,21,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,22,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,23,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,24,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,25,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,26,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,27,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,28,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,29,1.0
Author,LogisticLASSO,LogisticLASSO,Jaccard,30,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,1,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,2,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,3,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,4,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,5,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,6,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,7,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,8,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,9,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,10,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,11,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,12,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,13,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,14,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,15,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,16,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,17,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,18,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,19,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,20,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,21,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,22,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,23,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,24,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,25,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,26,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,27,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,28,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,29,1.0
Author,LogisticLASSO,LogisticLASSO,RBO,30,1.0
Author,LogisticLASSO,LogisticRidge,Jaccard,1,0.81
Author,LogisticLASSO,LogisticRidge,Jaccard,2,0.7133333333333334
Author,LogisticLASSO,LogisticRidge,Jaccard,3,0.774
Author,LogisticLASSO,LogisticRidge,Jaccard,4,0.8320000000000001
Author,LogisticLASSO,LogisticRidge,Jaccard,5,0.8542857142857144
Author,LogisticLASSO,LogisticRidge,Jaccard,6,0.8242857142857137
Author,LogisticLASSO,LogisticRidge,Jaccard,7,0.7773333333333334
Author,LogisticLASSO,LogisticRidge,Jaccard,8,0.7514343434343431
Author,LogisticLASSO,LogisticRidge,Jaccard,9,0.7469090909090899
Author,LogisticLASSO,LogisticRidge,Jaccard,10,0.735128205128205
Author,LogisticLASSO,LogisticRidge,Jaccard,11,0.7394835164835171
Author,LogisticLASSO,LogisticRidge,Jaccard,12,0.7454065934065932
Author,LogisticLASSO,LogisticRidge,Jaccard,13,0.7601239495798323
Author,LogisticLASSO,LogisticRidge,Jaccard,14,0.7798398692810455
Author,LogisticLASSO,LogisticRidge,Jaccard,15,0.7954373065015483
Author,LogisticLASSO,LogisticRidge,Jaccard,16,0.8087402820777423
Author,LogisticLASSO,LogisticRidge,Jaccard,17,0.8178012455380865
Author,LogisticLASSO,LogisticRidge,Jaccard,18,0.8287157419239785
Author,LogisticLASSO,LogisticRidge,Jaccard,19,0.8254941652550353
Author,LogisticLASSO,LogisticRidge,Jaccard,20,0.8285149632975713
Author,LogisticLASSO,LogisticRidge,Jaccard,21,0.8313816205533594
Author,LogisticLASSO,LogisticRidge,Jaccard,22,0.8355145794624055
Author,LogisticLASSO,LogisticRidge,Jaccard,23,0.839678998779
Author,LogisticLASSO,LogisticRidge,Jaccard,24,0.8519191641053705
Author,LogisticLASSO,LogisticRidge,Jaccard,25,0.8554712812092121
Author,LogisticLASSO,LogisticRidge,Jaccard,26,0.8573455363282949
Author,LogisticLASSO,LogisticRidge,Jaccard,27,0.8617388073756251
Author,LogisticLASSO,LogisticRidge,Jaccard,28,0.8637750940198097
Author,LogisticLASSO,LogisticRidge,Jaccard,29,0.8587255133699753
Author,LogisticLASSO,LogisticRidge,Jaccard,30,0.8578290602898052
Author,LogisticLASSO,LogisticRidge,RBO,1,0.81
Author,LogisticLASSO,LogisticRidge,RBO,2,0.7975
Author,LogisticLASSO,LogisticRidge,RBO,3,0.813888888888889
Author,LogisticLASSO,LogisticRidge,RBO,4,0.8335416666666668
Author,LogisticLASSO,LogisticRidge,RBO,5,0.8492333333333333
Author,LogisticLASSO,LogisticRidge,RBO,6,0.8568611111111112
Author,LogisticLASSO,LogisticRidge,RBO,7,0.8583299319727891
Author,LogisticLASSO,LogisticRidge,RBO,8,0.8576011904761903
Author,LogisticLASSO,LogisticRidge,RBO,9,0.8567566137566135
Author,LogisticLASSO,LogisticRidge,RBO,10,0.8553809523809524
Author,LogisticLASSO,LogisticRidge,RBO,11,0.8544785517512793
Author,LogisticLASSO,LogisticRidge,RBO,12,0.854174783549784
Author,LogisticLASSO,LogisticRidge,RBO,13,0.8546820487205098
Author,LogisticLASSO,LogisticRidge,RBO,14,0.8559802697302703
Author,LogisticLASSO,LogisticRidge,RBO,15,0.8577593628593627
Author,LogisticLASSO,LogisticRidge,RBO,16,0.8598915901806522
Author,LogisticLASSO,LogisticRidge,RBO,17,0.8620778980246974
Author,LogisticLASSO,LogisticRidge,RBO,18,0.8644007308504861
Author,LogisticLASSO,LogisticRidge,RBO,19,0.866441873942689
Author,LogisticLASSO,LogisticRidge,RBO,20,0.8683955520781883
Author,LogisticLASSO,LogisticRidge,RBO,21,0.8702345942007829
Author,LogisticLASSO,LogisticRidge,RBO,22,0.8719565009421251
Author,LogisticLASSO,LogisticRidge,RBO,23,0.8736352241792364
Author,LogisticLASSO,LogisticRidge,RBO,24,0.875405919985556
Author,LogisticLASSO,LogisticRidge,RBO,25,0.8770736143474912
Author,LogisticLASSO,LogisticRidge,RBO,26,0.8786574032259632
Author,LogisticLASSO,LogisticRidge,RBO,27,0.8801206954076899
Author,LogisticLASSO,LogisticRidge,RBO,28,0.8812939973436288
Author,LogisticLASSO,LogisticRidge,RBO,29,0.8822881602621371
Author,LogisticLASSO,LogisticRidge,RBO,30,0.8830299984984883
Author,LogisticLASSO,RF,Jaccard,1,0.06
Author,LogisticLASSO,RF,Jaccard,2,0.0833333333333333
Author,LogisticLASSO,RF,Jaccard,3,0.18899999999999967
Author,LogisticLASSO,RF,Jaccard,4,0.2971428571428567
Author,LogisticLASSO,RF,Jaccard,5,0.34285714285714264
Author,LogisticLASSO,RF,Jaccard,6,0.34099999999999975
Author,LogisticLASSO,RF,Jaccard,7,0.3452727272727272
Author,LogisticLASSO,RF,Jaccard,8,0.3632634032634032
Author,LogisticLASSO,RF,Jaccard,9,0.3807582417582417
Author,LogisticLASSO,RF,Jaccard,10,0.3885321051497522
Author,LogisticLASSO,RF,Jaccard,11,0.3812420634920633
Author,LogisticLASSO,RF,Jaccard,12,0.3796130030959751
Author,LogisticLASSO,RF,Jaccard,13,0.3802097891788296
Author,LogisticLASSO,RF,Jaccard,14,0.379306751727804
Author,LogisticLASSO,RF,Jaccard,15,0.3741149068322983
Author,LogisticLASSO,RF,Jaccard,16,0.37461020139280987
Author,LogisticLASSO,RF,Jaccard,17,0.3819483069265677
Author,LogisticLASSO,RF,Jaccard,18,0.3873303095704895
Author,LogisticLASSO,RF,Jaccard,19,0.3918003719141645
Author,LogisticLASSO,RF,Jaccard,20,0.3988777110912817
Author,LogisticLASSO,RF,Jaccard,21,0.4118606519646317
Author,LogisticLASSO,RF,Jaccard,22,0.4183668564199873
Author,LogisticLASSO,RF,Jaccard,23,0.4296676950872706
Author,LogisticLASSO,RF,Jaccard,24,0.440768921804304
Author,LogisticLASSO,RF,Jaccard,25,0.44966139845836495
Author,LogisticLASSO,RF,Jaccard,26,0.4620311757014543
Author,LogisticLASSO,RF,Jaccard,27,0.46843991899999105
Author,LogisticLASSO,RF,Jaccard,28,0.4780928547243179
Author,LogisticLASSO,RF,Jaccard,29,0.4819932263619687
Author,LogisticLASSO,RF,Jaccard,30,0.49083007005868756
Author,LogisticLASSO,RF,RBO,1,0.06
Author,LogisticLASSO,RF,RBO,2,0.0925
Author,LogisticLASSO,RF,RBO,3,0.1649999999999999
Author,LogisticLASSO,RF,RBO,4,0.23687499999999986
Author,LogisticLASSO,RF,RBO,5,0.2902999999999997
Author,LogisticLASSO,RF,RBO,6,0.3263611111111113
Author,LogisticLASSO,RF,RBO,7,0.3525952380952381
Author,LogisticLASSO,RF,RBO,8,0.3746145833333332
Author,LogisticLASSO,RF,RBO,9,0.393854938271605
Author,LogisticLASSO,RF,RBO,10,0.4100694444444445
Author,LogisticLASSO,RF,RBO,11,0.4227077594123048
Author,LogisticLASSO,RF,RBO,12,0.43310711279461295
Author,LogisticLASSO,RF,RBO,13,0.4419805301536071
Author,LogisticLASSO,RF,RBO,14,0.44954314534671674
Author,LogisticLASSO,RF,RBO,15,0.45570693565693554
Author,LogisticLASSO,RF,RBO,16,0.461131502178377
Author,LogisticLASSO,RF,RBO,17,0.46635906087376666
Author,LogisticLASSO,RF,RBO,18,0.47131442168942156
Author,LogisticLASSO,RF,RBO,19,0.47593624732386547
Author,LogisticLASSO,RF,RBO,20,0.4804452833669643
Author,LogisticLASSO,RF,RBO,21,0.48509971733793117
Author,LogisticLASSO,RF,RBO,22,0.48959893346956834
Author,LogisticLASSO,RF,RBO,23,0.49419926605375586
Author,LogisticLASSO,RF,RBO,24,0.4987872014907689
Author,LogisticLASSO,RF,RBO,25,0.5032909744938243
Author,LogisticLASSO,RF,RBO,26,0.5079110253132126
Author,LogisticLASSO,RF,RBO,27,0.5121908514748599
Author,LogisticLASSO,RF,RBO,28,0.5158597178937101
Author,LogisticLASSO,RF,RBO,29,0.519131876773876
Author,LogisticLASSO,RF,RBO,30,0.5215062567065649
Author,LogisticLASSO,Tree,Jaccard,1,0.0
Author,LogisticLASSO,Tree,Jaccard,2,0.06666666666666664
Author,LogisticLASSO,Tree,Jaccard,3,0.1549999999999998
Author,LogisticLASSO,Tree,Jaccard,4,0.18095238095238084
Author,LogisticLASSO,Tree,Jaccard,5,0.22440476190476183
Author,LogisticLASSO,Tree,Jaccard,6,0.21075757575757542
Author,LogisticLASSO,Tree,Jaccard,7,0.20948251748251764
Author,LogisticLASSO,Tree,Jaccard,8,0.2106666666666663
Author,LogisticLASSO,Tree,Jaccard,9,0.2080662572721394
Author,LogisticLASSO,Tree,Jaccard,10,0.20885964912280688
Author,LogisticLASSO,Tree,Jaccard,11,0.21298839009287904
Author,LogisticLASSO,Tree,Jaccard,12,0.2200169407475908
Author,LogisticLASSO,Tree,Jaccard,13,0.23163649076578133
Author,LogisticLASSO,Tree,Jaccard,14,0.24365428194993405
Author,LogisticLASSO,Tree,Jaccard,15,0.24363827235566352
Author,LogisticLASSO,Tree,Jaccard,16,0.2532729647386319
Author,LogisticLASSO,Tree,Jaccard,17,0.26312063263240176
